operationdistrict,capitaldistrict,euidistrict,operationdoasvrf,capitaldoasvrf,euidoasvrf,operationvav,capitalvav,euivav
969534.2288,2392503.668,153.6258307,820509.8736,3206264.368,66.35575993,826061.6375,2580819.029,245.3711577
930168.1216,2600069.149,153.2022269,1035994.14,2647147.94,73.54972304,676302.0918,3646885.471,240.299851
985880.8252,2390104.253,177.5656157,969534.2288,2608426.278,100.8726776,727539.972,2938677.861,260.1086894
945512.0178,2347761.193,190.3418895,809368.7913,3215813.362,77.12304727,791292.219,2673787.708,277.4950814
1123405.239,2070531.899,223.8686526,948613.5567,2612668.583,89.21818397,833365.9904,2826471.521,244.3887849
1001224.721,2497445.99,158.8351459,894274.1377,3304053.779,72.82639255,814399.6788,2683631.817,256.8748025
945489.4048,2257611.425,193.3578806,927460.4574,2835351.609,69.17056422,795976.8567,2963737.551,247.4831561
1073291.924,2335003.275,214.7244258,980281.4363,2475618.998,93.90855708,830868.1405,2272135.41,278.3443679
963934.8399,2095512.818,164.586524,998704.2584,2344232.93,70.39386622,870134.9955,2829379.336,258.2301914
1001202.108,2257777.981,153.6591531,998726.8715,2487673.123,93.60394992,883387.9555,2935301.616,281.3767423
912696.9598,2590837.763,159.51315,870623.1884,2944116.891,70.84293613,858355.8191,2236194.46,255.4048355
1054439.575,2215403.531,167.6221054,1003201.695,2638186.535,96.92384037,809615.7889,2967030.558,251.6142278
903415.6333,2150960.866,170.6981665,991422.5186,2222573.595,112.5821088,799078.3956,2545963.417,256.7534963
915194.8097,2594284.816,174.4138713,1016454.655,3039300.312,98.83523474,719133.6668,3310040.529,246.8818969
912696.9598,2516324.528,157.9161808,1047135.222,2214745.566,110.7859284,830868.1405,2405431.884,277.0205805
945489.4048,2259935.323,188.7008299,1003201.695,2673437.895,88.42377014,793269.1925,2469956.966,260.3466151
985880.8252,2388995.139,187.8676557,899873.5266,3266258.248,86.87740019,770371.5469,2752076.8,253.6536503
913821.5252,2200518.729,176.9245296,1036024.656,2798209.588,96.13786806,727539.972,2988126.937,259.666888
860606.6715,2577530.42,166.7946743,998704.2584,2290210.068,69.96671375,870112.3825,2296091.11,265.8760462
818532.9001,2668237.646,159.3102494,1033496.29,2095391.802,100.6061011,868135.4089,2356473.672,270.1740661
929043.5562,2705840.401,162.125556,817408.3347,3387017.247,66.55669421,823586.4006,2506379.341,251.1220728
852200.3662,2547118.756,171.6087982,1073314.537,3038463.649,120.6948331,819999.0677,2830650.19,247.750629
892569.1736,2910966,158.8107802,910719.9862,3030543.742,63.86629634,808242.5043,2318232.346,265.7240547
951111.4067,2662429.904,191.1268857,945489.4048,2590396.836,86.70935041,921372.8757,2334088.769,267.4132469
1089208.994,1677193.117,192.220824,1086137.97,2413977.883,127.1568431,740054.3388,3212517.361,244.8907193
1070794.074,2023136.501,207.7854196,930168.1216,2714847.594,92.68519284,835342.964,2567028.611,265.3495418
1033496.29,2017377.969,167.4344402,1033496.29,2201940.258,99.69065973,724710.4426,3299588.174,247.6765137
983382.9753,2056928.71,195.1681773,998726.8715,2444554.587,111.1072896,737556.4889,2477032.376,258.3865372
1036024.656,2275941.905,205.5417293,980281.4363,2782733.04,75.24685548,865637.559,2208797.245,263.1179932
913821.5252,2277355.863,173.8644481,1102484.567,2653423.025,102.6900811,737556.4889,2857497.673,251.3453713
962229.8759,2164983.272,156.3253894,980281.4363,2675431.965,72.40603858,956142.2942,2159940.719,290.3588552
