operationall,capitalall,euiall,operationpareto,capitalpareto,euipareto
812422.7053,2622785.328,241.5807791,,,
1004326.26,2414877.847,160.7236271,,,
921372.8757,2363374.933,275.2524318,,,
852814.1257,2817136.796,250.7897215,,,
945489.4048,2662573.961,69.15095991,,,
981685.2365,2912393.038,107.3889686,,,
852200.3662,2612115.816,169.3630497,,,
895376.09,2635054.563,153.8089742,,,
1033496.29,1892697.416,166.6326957,,,
1032923.117,2496402.474,183.4956858,,,
900429.5905,2205370.048,256.1737066,,,
985880.8252,2582019.54,157.8352059,,,
934625.8356,2378439.866,312.2639186,,,
942682.4884,3129054.616,80.79812366,,,
764286.364,2838339.233,245.2137058,,,
942682.4884,2726547.262,168.3272367,,,
945512.0178,2702429.002,95.82947116,,,
926335.892,2928564.545,79.26164951,,,
990361.1523,2709686.501,288.960673,,,
1176620.092,1690304.704,230.5661967,,,
906028.9794,2304639.555,279.2769661,,,
998726.8715,2162882.298,162.349933,,,
909037.6353,2687714.912,191.5827541,,,
853324.9316,2792706.506,156.6000184,,,
850316.2758,2469841.424,247.0294797,,,
773473.0858,2649052.661,258.4819964,,,
956653.1001,2373482.215,98.81827925,,,
902957.9561,2731293.747,269.9441801,,,
926335.892,2551175.767,85.402023,,,
1040499.479,2755966.299,194.7497388,,,
826061.6375,2580819.029,245.3711577,,,
910719.9862,2902786.672,63.96534428,,,
676302.0918,3646885.471,240.299851,,,
855301.9052,2448742.415,167.1230429,,,
913821.5252,2217898.207,174.8854571,,,
969534.2288,2392503.668,153.6258307,,,
930168.1216,2600069.149,153.2022269,,,
727539.972,2938677.861,260.1086894,,,
998726.8715,2605109.554,76.38625243,,,
985880.8252,2390104.253,177.5656157,,,
966432.6899,2850715.961,75.25980963,,,
930168.1216,2796254.005,103.0355154,,,
980281.4363,2785056.939,70.5898048,,,
791292.219,2673787.708,277.4950814,,,
833365.9904,2826471.521,244.3887849,,,
1033496.29,2482558.484,82.3166292,,,
951088.7936,2760015.848,89.36786553,,,
907890.4568,2661218.08,82.98724167,,,
945512.0178,2347761.193,190.3418895,,,
814399.6788,2683631.817,256.8748025,,,
1126506.778,2335439.288,122.7449471,,,
795976.8567,2963737.551,247.4831561,,,
998704.2584,2102237.175,90.65489931,,,
830868.1405,2272135.41,278.3443679,,,
870134.9955,2829379.336,258.2301914,,,
1123405.239,2070531.899,223.8686526,,,
883387.9555,2935301.616,281.3767423,,,
858355.8191,2236194.46,255.4048355,,,
1001224.721,2497445.99,158.8351459,,,
809615.7889,2967030.558,251.6142278,,,
820509.8736,3206264.368,66.35575993,,,
799078.3956,2545963.417,256.7534963,,,
945489.4048,2257611.425,193.3578806,,,
1035994.14,2647147.94,73.54972304,,,
969534.2288,2608426.278,100.8726776,,,
1073291.924,2335003.275,214.7244258,,,
809368.7913,3215813.362,77.12304727,,,
719133.6668,3310040.529,246.8818969,,,
963934.8399,2095512.818,164.586524,,,
830868.1405,2405431.884,277.0205805,,,
948613.5567,2612668.583,89.21818397,,,
1001202.108,2257777.981,153.6591531,,,
912696.9598,2590837.763,159.51315,,,
793269.1925,2469956.966,260.3466151,,,
894274.1377,3304053.779,72.82639255,,,
1054439.575,2215403.531,167.6221054,,,
903415.6333,2150960.866,170.6981665,,,
915194.8097,2594284.816,174.4138713,,,
927460.4574,2835351.609,69.17056422,,,
912696.9598,2516324.528,157.9161808,,,
770371.5469,2752076.8,253.6536503,,,
945489.4048,2259935.323,188.7008299,,,
727539.972,2988126.937,259.666888,,,
870112.3825,2296091.11,265.8760462,,,
985880.8252,2388995.139,187.8676557,,,
980281.4363,2475618.998,93.90855708,,,
868135.4089,2356473.672,270.1740661,,,
998704.2584,2344232.93,70.39386622,,,
998726.8715,2487673.123,93.60394992,,,
870623.1884,2944116.891,70.84293613,,,
1003201.695,2638186.535,96.92384037,,,
913821.5252,2200518.729,176.9245296,,,
991422.5186,2222573.595,112.5821088,,,
823586.4006,2506379.341,251.1220728,,,
1016454.655,3039300.312,98.83523474,,,
819999.0677,2830650.19,247.750629,,,
