operationnoshade,capitalnoshade,euinoshade,operationshade,capitalshade,euishade
894274.1377,2581257.026,166.0222392,923898.88,2463557.59,179.6
854791.0993,2841045.309,251.3296548,838664.67,2494848.38,157.83
729516.9455,2711431.96,253.7674397,757656.39,3234753.928,246.7
953065.7672,2975121.407,70.53081218,885779.52,2423306.413,284.61
757004.6242,2576822.207,260.0943067,870344.43,3370248.247,75.21
955569.1208,2604649.613,296.1753459,1014589.63,2696082.979,327.26
871747.7538,2305389.929,163.968721,995155.56,2604048.14,165.16
945512.0178,2448299.658,166.4469431,745730.12,2986272.098,260.75
868135.4089,2493159.242,256.2887492,1020289.78,2144839.68,165.5
1001202.108,2195403.203,165.032613,950071.14,2218410.04,194.99
762309.3905,2955590.497,237.4681949,737584.93,2986862.872,241.86
720235.6191,2673761.463,256.5857649,908272.89,2389880.942,292.33
794393.7579,2558031.889,275.0483985,753449.92,2614297.024,245.08
941309.2038,2062693.472,179.8190854,812888.55,2958921.803,255.12
956142.2942,2099625.835,287.400184,777492.44,2617393.38,239.51
894251.5246,2661001.592,77.95537764,1001217.26,2034932.099,324.52
808242.5043,2322697.014,278.9110367,755193.71,2657728.78,246.16
915194.8097,2483768.236,168.1407432,820120.09,2868497.32,164
900429.5905,2052644.006,280.903272,906539.7853,2254966.484,193.0081257
927460.4574,2620483.062,88.05510449,1012343.191,2142429.905,108.5518588
1090612.794,2119506.561,204.4764961,951111.4067,3100192.491,91.97622312
948590.9437,2254074.749,156.7502599,757004.6242,2511825.147,262.3400553
797101.4221,2672099.797,272.9823637,770371.5469,2669414.091,267.9661197
915194.8097,3006172.335,156.0171693,1176620.092,1885653.003,195.8766962
1086137.97,2532985.593,101.5258367,782128.1103,2909420.333,263.6309351
1001224.721,2372432.429,171.9069852,1211412.124,1675779.159,223.8981053
873121.0383,2917100.003,79.84275901,947488.9913,2918287.18,80.74867611
1054416.962,2280058.14,72.82758406,998704.2584,2362399.405,76.22073363
1019647.544,2198235.746,173.1731533,951111.4067,2632256.008,172.0768597
812422.7053,2622785.328,241.5807791,921372.8757,2438313.326,271.1548562
921372.8757,2363374.933,275.2524318,897353.0635,3050530.609,73.60237694
981685.2365,2912393.038,107.3889686,951088.7936,2557321.462,155.3944601
852200.3662,2612115.816,169.3630497,949986.8413,2950832.557,88.95091195
1032923.117,2496402.474,183.4956858,737556.4889,2857497.673,251.3453713
764286.364,2838339.233,245.2137058,871747.7538,2730207.876,101.3714241
990361.1523,2709686.501,288.960673,817408.3347,3384693.348,71.2137449
906028.9794,2304639.555,279.2769661,962229.8759,2043185.215,172.8295398
850316.2758,2469841.424,247.0294797,962229.8759,1962846.405,182.4849585
902957.9561,2731293.747,269.9441801,886969.7847,2696820.706,86.3233754
926335.892,2551175.767,85.402023,757004.6242,2494445.67,264.3791277
826061.6375,2580819.029,245.3711577,762332.0036,3225862.068,243.4582188
910719.9862,2902786.672,63.96534428,897375.6766,2930941.936,86.63592902
676302.0918,3646885.471,240.299851,732014.7955,3504155.31,244.1310855
855301.9052,2448742.415,167.1230429,1004326.26,2414877.847,160.7236271
969534.2288,2392503.668,153.6258307,852814.1257,2817136.796,250.7897215
930168.1216,2600069.149,153.2022269,945489.4048,2662573.961,69.15095991
985880.8252,2390104.253,177.5656157,895376.09,2635054.563,153.8089742
966432.6899,2850715.961,75.25980963,1033496.29,1892697.416,166.6326957
980281.4363,2785056.939,70.5898048,900429.5905,2205370.048,256.1737066
907890.4568,2661218.08,82.98724167,985880.8252,2582019.54,157.8352059
